"Id","Name","Email","Gender","Status","Created_at","Updated_at"
"","Prof. Rahul ","rahul@rutherford.example","male","active","2023-05-12T08:41:34.511Z","2023-05-12T08:41:34.511Z"
"","Preity Acharya","preity_acharya@kris-stanton.com","female","inactive","2023-05-12T08:41:34.511Z","2023-05-12T08:41:34.511Z"
"","Suryakant Bhat","bhat_suryakant@mckenzie.test","male","active","2023-05-12T08:41:34.511Z","2023-05-12T08:41:34.511Z"
"","Manjusha Abbott","manjusha_abbott@swaniawski.example","female","inactive","2023-05-12T08:41:34.511Z","2023-05-12T08:41:34.511Z"
"","Siddhran Jha","jha_siddhran@kessler.test","male","inactive","2023-05-12T08:41:34.509Z","2023-05-12T08:41:34.509Z"
"","Chandan Mukhopadhyay","mukhopadhyay_chandan@king-zieme.test","male","active","2023-05-12T08:41:34.510Z","2023-05-12T08:41:34.510Z"
"","The Hon. Shrishti Tagore","the_tagore_hon_shrishti@schultz.example","male","inactive","2023-05-12T08:41:34.512Z","2023-05-12T08:41:34.512Z"
"","Fr. Goutam Guneta","goutam_guneta_fr@schimmel.test","female","inactive","2023-05-12T08:41:34.512Z","2023-05-12T08:41:34.512Z"
"","Chandramauli Guneta","chandramauli_guneta@bartell.test","male","inactive","2023-05-12T08:41:34.512Z","2023-05-12T08:41:34.512Z"
"","Chapal Sinha","sinha_chapal@thompson.example","female","active","2023-05-12T08:41:34.512Z","2023-05-12T08:41:34.512Z"
